[2025-11-08T21:19:19.431700] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:24.437889] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:29.444680] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:34.452164] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:39.459626] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:44.467489] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:49.474716] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:54.481881] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:59.489099] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:04.495505] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:09.502926] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:14.509129] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:19.516227] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:24.523120] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:29.529709] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:34.536546] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:39.543264] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:44.549440] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:49.556023] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:54.562571] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:59.568871] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:04.578352] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:09.584674] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:14.591321] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:19.597673] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:24.605165] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:29.612306] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:34.618555] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:39.624952] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:44.631025] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:49.637818] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:54.644848] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:59.651789] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:04.658246] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:09.664559] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:14.672341] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:19.681808] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:24.688949] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:29.695642] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:34.702643] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:39.709485] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:44.715601] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:49.721576] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:54.728521] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:22:59.735274] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:04.741593] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:09.748314] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:14.754284] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:19.760644] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:24.767509] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:23:29.774341] - X=0.5001, Y=0.4995, Z=0.9957
